FIPS,LAPOP1_10,Pop2010,diet_prevalence
2261,2724.0,9636,0.28268991282689915
2275,506.0,2369,0.21359223300970873
2282,2.0,662,0.0030211480362537764
2290,5005.0,5588,0.8956692913385826
4001,39133.0,71518,0.5471769344780335
4003,57659.0,119808,0.48126168536324787
4005,43627.0,117359,0.37173970466687684
4007,15131.0,49116,0.3080666178027527
4009,14756.0,30202,0.48857691543606385
4011,2777.0,8437,0.3291454308403461
4012,10938.0,18652,0.5864250482521982
4013,794960.0,2267894,0.3505278465395649
4015,91819.0,185251,0.4956464472526464
4017,47861.0,100103,0.47811753893489706
4019,280815.0,676010,0.41540065975355395
4021,171859.0,306288,0.5611026223684897
4023,17205.0,47420,0.3628215942640236
4025,75446.0,175279,0.4304337655965632
4027,48385.0,137999,0.3506184827426286
5001,8947.0,17272,0.5180060213061602
5003,4755.0,16871,0.28184458538320195
5005,6820.0,32570,0.2093951489100399
5007,55100.0,123284,0.4469355309691444
5009,7707.0,27494,0.28031570524478067
5011,2735.0,5166,0.5294231513743709
5013,3516.0,5368,0.6549925484351714
5015,4498.0,18718,0.2403034512234213
5017,3848.0,9106,0.42257851965736876
5019,6091.0,22995,0.26488367036312244
5021,2586.0,11818,0.2188187510577086
5023,4524.0,20035,0.2258048415273272
5025,1920.0,8689,0.22096904131660722
5027,4795.0,24552,0.19529977191267514
5029,4706.0,18579,0.25329673287044513
5031,20573.0,51864,0.39667206540182015
5033,21298.0,49355,0.431526694357208
5035,11468.0,44253,0.25914627256909134
5037,5212.0,15174,0.3434822723078951
5039,4218.0,8116,0.5197141448989651
5041,4221.0,9942,0.4245624622812311
5043,4469.0,15177,0.294458720432233
5045,37149.0,68362,0.5434159328281793
5047,847.0,10819,0.07828819669100656
5049,1703.0,12245,0.13907717435688036
5051,28068.0,85151,0.32962619346807437
5053,6335.0,17853,0.3548423234190332
5055,7580.0,35503,0.21350308424640171
5057,7142.0,22609,0.3158919014551727
5059,8209.0,25348,0.3238519804323812
5061,4796.0,13789,0.34781347450866634
5063,4428.0,25379,0.17447495961227788
5065,126.0,7611,0.016554986204178165
5067,4938.0,17997,0.2743790631771962
5069,20134.0,65561,0.30710330836930494
5071,6962.0,25540,0.2725920125293657
5073,1609.0,7645,0.2104643557880968
5075,6612.0,17415,0.3796726959517657
5077,4652.0,10424,0.44627782041442826
5079,4695.0,11691,0.40159096741082884
5081,406.0,8453,0.04803028510587957
5083,3626.0,18486,0.19614843665476578
5085,11243.0,37574,0.2992228668760313
5087,4110.0,12068,0.34057010275107724
5089,1671.0,12820,0.13034321372854915
5091,11770.0,41130,0.2861658157062971
5093,7877.0,31792,0.24776673376950176
5095,2308.0,8149,0.2832249355749172
5097,2187.0,9487,0.23052598292400125
5099,4874.0,8997,0.5417361342669779
5101,2405.0,8330,0.2887154861944778
5103,9053.0,26120,0.3465926493108729
5105,1490.0,10445,0.14265198659645764
5107,7851.0,16595,0.47309430551370896
5109,2604.0,11291,0.2306261624302542
5111,4745.0,15618,0.3038161096171085
5113,6680.0,17428,0.3832912554509984
5115,14370.0,42616,0.33719729678993804
5117,388.0,8715,0.04452094090648308
5119,126455.0,308303,0.4101646756599838
5121,2917.0,14169,0.2058719740278072
5123,13344.0,25049,0.5327158768813126
5125,31898.0,64936,0.4912221264013798
5127,3862.0,11233,0.34380842161488473
5129,2693.0,8195,0.3286150091519219
5131,16618.0,84839,0.19587689623875812
5133,5002.0,17058,0.29323484582014303
5135,5995.0,17264,0.3472544022242817
5137,3097.0,12394,0.24987897369695014
5139,11733.0,41639,0.28177910132327866
5141,1799.0,11589,0.1552334109931832
5143,28344.0,117003,0.24225019871285353
5145,18205.0,61041,0.29824216510214446
5147,486.0,7260,0.06694214876033058
5149,3633.0,22185,0.16375929682217716
6001,122079.0,443098,0.27551241486082084
6003,669.0,1175,0.5693617021276596
6005,66.0,1867,0.03535083020889127
6007,42052.0,150887,0.27869862877517615
6009,6717.0,19386,0.34648715567935623
6011,8424.0,21419,0.3932956720668565
6013,243671.0,693343,0.3514436577566947
6015,9844.0,26729,0.36828912417224735
6017,45667.0,107358,0.4253711879878537
6019,124000.0,508791,0.24371500282041153
6021,6594.0,28122,0.23447834435673137
6023,15060.0,113561,0.13261595089863598
6025,30789.0,123212,0.24988637470376263
6027,5357.0,18546,0.2888493475682088
6029,199597.0,567360,0.3517995628877609
6031,50526.0,136813,0.3693070102987289
6033,2703.0,32932,0.08207822179035588
6035,11130.0,31279,0.3558297899549218
6037,641326.0,2310030,0.2776266974887772
6039,21866.0,104977,0.20829324518704098
6041,30005.0,159089,0.188605120404302
6043,1473.0,18251,0.08070790641608679
6045,12722.0,63252,0.20113198001644217
6047,48443.0,189760,0.2552856239460371
6049,3927.0,9686,0.4054305182737972
6051,8109.0,14202,0.5709759188846641
6053,69025.0,228362,0.30226132193622407
6055,16494.0,64883,0.25421142672194563
6057,34333.0,75999,0.45175594415715997
6059,261045.0,1094518,0.2385022448237489
6061,111251.0,252527,0.4405509113876932
6063,1261.0,14507,0.08692355414627422
6065,536040.0,1561107,0.34337172275827343
6067,238546.0,786017,0.3034870747070356
6069,9879.0,39599,0.2494759968686078
6071,501808.0,1282597,0.3912437032052936
6073,462035.0,1610036,0.2869718441078336
6075,4706.0,25052,0.18784927351109693
6077,98777.0,363187,0.27197284043757075
6079,50210.0,209359,0.23982728232366413
6081,75563.0,261041,0.289467937986753
6083,51900.0,264620,0.19613030005290605
6085,151214.0,550774,0.27454818128669833
